model,gene,variable,df,statistic,contrast_ref,contrast_lvl,estimate,pval,FDR,std.error,hgnc_symbol
lme.contrast,module_30,Treatment,33.28769604376559,2.95638287875555,(None + RV16),(IFNb + RV16),-0.154393465155161,0.0056852247330102254,0.01746176167995998,0.05222377191554787,NA
lme.contrast,module_30,Treatment,32.78272275587615,2.48714242256933,(CXCL10 + RV16),(IFNb + RV16),-0.129070886523812,0.018144654818206464,0.0458953033636987,0.05189525350561779,NA
lme.contrast,module_31,Treatment,34.01313288759435,6.9222462208624,(None + None),(None + RV16),-0.27411166330628,5.598927376367666e-8,1.85195290141392e-7,0.03959865837770365,NA
lme.contrast,module_31,Treatment,33.24173867641948,6.6864881222054,(None + None),(CXCL10 + RV16),-0.261819987781558,1.2525511079886488e-7,4.14305366488553e-7,0.039156577114385485,NA
lme.contrast,module_31,Treatment,32.48239699130852,4.46880185505236,(None + None),(IFNb + RV16),-0.173101408188584,8.990256259589356e-5,2.4161313697646395e-4,0.038735529970494995,NA
lme.contrast,module_31,Treatment,32.49207430935389,-0.317279715672438,(None + RV16),(CXCL10 + RV16),0.0122916755247218,0.7530612527901135,0.9343293502360811,0.0387408173846568,NA
lme.contrast,module_31,Treatment,33.26652444676785,-2.57872998430138,(None + RV16),(IFNb + RV16),0.101010255117696,0.014524210558513993,0.028388229728004623,0.03917054353601166,NA
lme.contrast,module_31,Treatment,32.714438599100106,-2.28286357192132,(CXCL10 + RV16),(IFNb + RV16),0.0887185795929742,0.029071878582973294,0.05952813233656436,0.03886284782156564,NA
lme.contrast,module_32,Treatment,33.46245663324726,-6.79164454663819,(None + None),(None + RV16),0.267800567048841,8.922852198651177e-8,2.557884296946671e-7,0.03943088676238226,NA
lme.contrast,module_32,Treatment,32.829121355488915,-7.99527876309942,(None + None),(CXCL10 + RV16),0.309286593167622,3.3050893995414347e-9,2.368647403004695e-8,0.038683653482486625,NA
lme.contrast,module_32,Treatment,32.18867753333626,-3.24785292750843,(None + None),(IFNb + RV16),0.123309036498958,0.0027193789740790827,0.004677331835416023,0.03796632398424321,NA
